year,ticker,yf_ticker,first_date,last_date,full_year,episodes
2016,A,A,2016-01-01,2016-12-31,True,1
2016,AABA,AABA,2016-01-01,2016-12-31,True,1
2016,AAL,AAL,2016-01-01,2016-12-31,True,1
2016,AAP,AAP,2016-01-01,2016-12-31,True,1
2016,AAPL,AAPL,2016-01-01,2016-12-31,True,1
2016,ABBV,ABBV,2016-01-01,2016-12-31,True,1
2016,ABC,COR,2016-01-01,2016-12-31,True,1
2016,ABT,ABT,2016-01-01,2016-12-31,True,1
2016,ACN,ACN,2016-01-01,2016-12-31,True,1
2016,ADBE,ADBE,2016-01-01,2016-12-31,True,1
2016,ADI,ADI,2016-01-01,2016-12-31,True,1
2016,ADM,ADM,2016-01-01,2016-12-31,True,1
2016,ADP,ADP,2016-01-01,2016-12-31,True,1
2016,ADS,BFH,2016-01-01,2016-12-31,True,1
2016,ADSK,ADSK,2016-01-01,2016-12-31,True,1
2016,ADT,ADT,2016-01-01,2016-05-01,False,1
2016,AEE,AEE,2016-01-01,2016-12-31,True,1
2016,AEP,AEP,2016-01-01,2016-12-31,True,1
2016,AES,AES,2016-01-01,2016-12-31,True,1
2016,AET,AET,2016-01-01,2016-12-31,True,1
2016,AFL,AFL,2016-01-01,2016-12-31,True,1
2016,AGN,AGN,2016-01-01,2016-12-31,True,1
2016,AIG,AIG,2016-01-01,2016-12-31,True,1
2016,AIV,AIV,2016-01-01,2016-12-31,True,1
2016,AIZ,AIZ,2016-01-01,2016-12-31,True,1
2016,AJG,AJG,2016-05-31,2016-12-31,False,1
2016,AKAM,AKAM,2016-01-01,2016-12-31,True,1
2016,ALB,ALB,2016-07-01,2016-12-31,False,1
2016,ALK,ALK,2016-05-13,2016-12-31,False,1
2016,ALL,ALL,2016-01-01,2016-12-31,True,1
2016,ALLE,ALLE,2016-01-01,2016-12-31,True,1
2016,ALXN,ALXN,2016-01-01,2016-12-31,True,1
2016,AMAT,AMAT,2016-01-01,2016-12-31,True,1
2016,AME,AME,2016-01-01,2016-12-31,True,1
2016,AMG,AMG,2016-01-01,2016-12-31,True,1
2016,AMGN,AMGN,2016-01-01,2016-12-31,True,1
2016,AMP,AMP,2016-01-01,2016-12-31,True,1
2016,AMT,AMT,2016-01-01,2016-12-31,True,1
2016,AMZN,AMZN,2016-01-01,2016-12-31,True,1
2016,AN,AN,2016-01-01,2016-12-31,True,1
2016,ANDV,ANDV,2016-01-01,2016-12-31,True,1
2016,ANTM,ELV,2016-01-01,2016-12-31,True,1
2016,AON,AON,2016-01-01,2016-12-31,True,1
2016,APA,APA,2016-01-01,2016-12-31,True,1
2016,APC,APC,2016-01-01,2016-12-31,True,1
2016,APD,APD,2016-01-01,2016-12-31,True,1
2016,APH,APH,2016-01-01,2016-12-31,True,1
2016,APTV,APTV,2016-01-01,2016-12-31,True,1
2016,ARG,ARG,2016-01-01,2016-05-22,False,1
2016,ARNC,ARNC,2016-01-01,2016-12-31,True,1
2016,ATVI,ATVI,2016-01-01,2016-12-31,True,1
2016,AVB,AVB,2016-01-01,2016-12-31,True,1
2016,AVGO,AVGO,2016-01-01,2016-12-31,True,1
2016,AVY,AVY,2016-01-01,2016-12-31,True,1
2016,AWK,AWK,2016-03-04,2016-12-31,False,1
2016,AXP,AXP,2016-01-01,2016-12-31,True,1
2016,AYI,AYI,2016-05-03,2016-12-31,False,1
2016,AZO,AZO,2016-01-01,2016-12-31,True,1
2016,BA,BA,2016-01-01,2016-12-31,True,1
2016,BAC,BAC,2016-01-01,2016-12-31,True,1
2016,BAX,BAX,2016-01-01,2016-12-31,True,1
2016,BBBY,BBBY,2016-01-01,2016-12-31,True,1
2016,BBT,BBT,2016-01-01,2016-12-31,True,1
2016,BBY,BBY,2016-01-01,2016-12-31,True,1
2016,BCR,BCR,2016-01-01,2016-12-31,True,1
2016,BDX,BDX,2016-01-01,2016-12-31,True,1
2016,BEN,BEN,2016-01-01,2016-12-31,True,1
2016,BF.B,BF-B,2016-01-01,2016-12-31,True,1
2016,BHGE,BKR,2016-01-01,2016-12-31,True,1
2016,BIIB,BIIB,2016-01-01,2016-12-31,True,1
2016,BK,BK,2016-01-01,2016-12-31,True,1
2016,BKNG,BKNG,2016-01-01,2016-12-31,True,1
2016,BLK,BLK,2016-01-01,2016-12-31,True,1
2016,BLL,BLL,2016-01-01,2016-12-31,True,1
2016,BMY,BMY,2016-01-01,2016-12-31,True,1
2016,BRCM,BRCM,2016-01-01,2016-01-31,False,1
2016,BRK.B,BRK-B,2016-01-01,2016-12-31,True,1
2016,BSX,BSX,2016-01-01,2016-12-31,True,1
2016,BWA,BWA,2016-01-01,2016-12-31,True,1
2016,BXLT,BXLT,2016-01-01,2016-06-02,False,1
2016,BXP,BXP,2016-01-01,2016-12-31,True,1
2016,C,C,2016-01-01,2016-12-31,True,1
2016,CA,CA,2016-01-01,2016-12-31,True,1
2016,CAG,CAG,2016-01-01,2016-12-31,True,1
2016,CAH,CAH,2016-01-01,2016-12-31,True,1
